largo_cm,ancho_cm,area_cm2
43.5,62.5,1124.787
60.0,59.5,1174.51
55.0,58.0,1241.42
48.0,54.0,1087.0
52.0,65.0,1538.67
48.0,58.0,1014.69
40.0,48.0,929.62
43.0,48.0,829.01
49.0,63.5,1164.37
57.0,64.0,1295.144
51.0,48.0,789.727
53.5,70.5,1470.086
52.5,53.5,982.576
47.0,52.0,1071.101
46.0,55.0,986.72
39.5,44.0,660.26
42.5,41.0,762.46
34.0,43.0,636.313
40.0,49.0,803.162
37.0,42.0,688.55
28.0,31.0,314.14
37.0,45.0,701.78
51.2,48.77,1191.94
47.51,43.91,977.09
51.47,48.76,980.95
41.32,38.93,620.31
47.68,43.41,806.7
50.34,61.3,1158.03
28.52,43.0,530.43
32.03,66.48,861.76
47.75,59.93,1327.12
32.38,47.61,689.67
41.36,54.32,969.16
42.22,39.85,579.46
59.47,32.77,896.98
43.1,23.64,426.59
48.47,49.4,858.68
36.52,43.8,681.5
49.32,45.3,1097.26
41.2,46.02,816.32
55.41,49.06,1092.08
48.77,49.16,881.4
40.94,52.26,1006.36
45.09,52.72,790.18
41.17,42.42,564.57
48.75,41.74,797.12
